Date,copper,zinc,usdinr
2020-01-02,6243.931878089905,2338.5,71.0250015258789
2020-01-03,6167.894134521484,2338.5,71.41500091552734
2020-01-06,6172.301815032959,2338.5,71.73100280761719
2020-01-07,6180.015781402588,2338.5,71.78700256347656
2020-01-08,6213.076012611389,2338.5,72.16000366210938
2020-01-09,6194.341794013977,2338.5,71.41190338134766
2020-01-10,6211.9740924835205,2338.5,71.19429779052734
2020-01-13,6306.746054649353,2338.5,70.9530029296875
2020-01-14,6338.703840255737,2338.5,70.71890258789062
2020-01-15,6325.479747772217,2338.5,70.84510040283203
2020-01-16,6285.807995796204,2338.5,70.71800231933594
2020-01-17,6280.297869682312,2338.5,70.94560241699219
2020-01-21,6167.894134521484,2338.5,71.03099822998047
2020-01-22,6098.467911720276,2338.5,71.16999816894531
2020-01-23,6008.104155540466,2338.5,71.0781021118164
2020-01-24,5918.841794013977,2338.5,71.32099914550781
2020-01-27,5722.685823440552,2338.5,71.32499694824219
2020-01-28,5685.217911720276,2338.5,71.44000244140625
2020-01-29,5627.913861274719,2338.5,71.23040008544922
2020-01-30,5561.793924331665,2304.0,71.30000305175781
2020-01-31,5554.079957962036,2304.0,71.63999938964844
2020-02-03,5538.652025222778,2304.0,71.49649810791016
2020-02-04,5614.689768791199,2304.0,71.31410217285156
2020-02-05,5684.115991592407,2304.0,71.0999984741211
2020-02-06,5727.094029426575,2304.0,71.18000030517578
2020-02-07,5640.036033630371,2304.0,71.47000122070312
2020-02-10,5636.729747772217,2304.0,71.5155029296875
2020-02-11,5705.054050445557,2304.0,71.27999877929688
2020-02-12,5743.623882293701,2304.0,71.27529907226562
2020-02-13,5773.377827644348,2304.0,71.29620361328125
2020-02-14,5742.5219621658325,2304.0,71.26850128173828
2020-02-18,5752.439768791199,2304.0,71.34919738769531
2020-02-19,5757.94989490509,2304.0,71.57499694824219
2020-02-20,5719.380063056946,2304.0,71.82749938964844
2020-02-21,5770.072067260742,2304.0,72.11000061035156
2020-02-24,5713.869936943054,2304.0,71.88680267333984
2020-02-25,5722.685823440552,2304.0,72.04669952392578
2020-02-26,5678.605865478516,2304.0,71.87000274658203
2020-02-27,5667.586138725281,2297.0,71.66339874267578
2020-02-28,5611.384008407593,2297.0,71.93000030517578
2020-03-02,5732.604155540466,2297.0,72.1500015258789
2020-03-03,5685.217911720276,2297.0,72.82499694824219
2020-03-04,5714.971857070923,2297.0,73.34200286865234
2020-03-05,5691.829957962036,2297.0,74.0425033569336
2020-03-06,5670.891899108887,2297.0,73.8551025390625
2020-03-09,5562.895844459534,2297.0,73.99530029296875
2020-03-10,5584.935823440552,2297.0,74.40599822998047
2020-03-11,5536.448184967041,2297.0,74.20500183105469
2020-03-12,5468.123882293701,2297.0,74.76000213623047
2020-03-13,5452.695949554443,2297.0,75.30000305175781
2020-03-16,5286.293924331665,2297.0,73.90399932861328
2020-03-17,5103.36204624176,2297.0,75.15499877929688
2020-03-18,4761.742109298706,2297.0,74.01239776611328
2020-03-19,4848.80010509491,2297.0,74.98200225830078
2020-03-20,4827.86204624176,2297.0,75.15969848632812
2020-03-23,4671.377827644348,2297.0,75.62210083007812
2020-03-24,4843.289978981018,2297.0,76.50599670410156
2020-03-25,4923.735928535461,2297.0,77.26000213623047
2020-03-26,4866.431878089905,2297.0,75.84549713134766
2020-03-27,4842.188058853149,2297.0,74.72560119628906
2020-03-30,4765.047869682312,2297.0,75.46499633789062
2020-03-31,4936.960021018982,2297.0,75.4000015258789
2020-04-01,4831.167806625366,2297.0,75.32499694824219
2020-04-02,4921.532088279724,2297.0,77.56999969482422
2020-04-03,4870.840084075928,2297.0,77.13999938964844
2020-04-06,4925.939768791199,2297.0,76.2300033569336
2020-04-07,5043.854155540466,2297.0,75.96489715576172
2020-04-08,5020.71225643158,2297.0,76.66000366210938
2020-04-09,5019.609810829163,2297.0,75.95899963378906
2020-04-13,5114.381772994995,2297.0,76.16649627685547
2020-04-14,5172.78774356842,2297.0,76.91000366210938
2020-04-15,5096.75,2297.0,75.93099975585938
2020-04-16,5079.118227005005,2297.0,77.2125015258789
2020-04-17,5187.11375617981,2297.0,77.56999969482422
2020-04-20,5145.238163948059,2297.0,76.55999755859375
2020-04-21,4996.467911720276,2297.0,77.20999908447266
2020-04-22,5107.770252227783,2297.0,76.96939849853516
2020-04-23,5122.095739364624,2297.0,76.4000015258789
2020-04-24,5174.992109298706,2297.0,76.42250061035156
2020-04-27,5249.927932739258,2297.0,76.27149963378906
2020-04-28,5243.315886497498,2297.0,76.1863021850586
2020-04-29,5233.398079872131,2297.0,76.46499633789062
2020-04-30,5188.216201782227,2297.0,75.25849914550781
2020-05-01,5109.9740924835205,2297.0,75.72000122070312
2020-05-04,5122.095739364624,2297.0,75.60050201416016
2020-05-05,5159.564176559448,2297.0,75.8499984741211
2020-05-06,5184.909915924072,2297.0,76.16999816894531
2020-05-07,5257.641899108887,2297.0,76.15129852294922
2020-05-08,5308.333903312683,2297.0,76.08000183105469
2020-05-11,5249.927932739258,2297.0,75.5250015258789
2020-05-12,5202.542214393616,2297.0,76.30999755859375
2020-05-13,5177.195949554443,2297.0,75.68000030517578
2020-05-14,5181.604155540466,2297.0,75.42620086669922
2020-05-15,5143.033798217773,2297.0,75.48500061035156
2020-05-18,5300.619936943054,2297.0,75.81999969482422
2020-05-19,5340.292214393616,2297.0,75.60009765625
2020-05-20,5438.369936943054,2297.0,76.0
2020-05-21,5404.207785606384,2297.0,75.77999877929688
2020-05-22,5309.435823440552,2297.0,75.625
2020-05-26,5374.453840255737,2297.0,76.11000061035156
2020-05-27,5295.109810829163,2297.0,75.81999969482422
2020-05-28,5318.252235412598,2297.0,76.12999725341797
2020-05-29,5348.006180763245,2297.0,75.95999908447266
2020-06-01,5453.797869682312,2297.0,75.51319885253906
2020-06-02,5497.877827644348,2297.0,75.7300033569336
2020-06-03,5502.286033630371,2297.0,75.06580352783203
2020-06-04,5494.572067260742,2297.0,75.54499816894531
2020-06-05,5635.627827644348,2297.0,75.49089813232422
2020-06-08,5664.2798528671265,2297.0,75.5177001953125
2020-06-09,5731.502235412598,2297.0,75.625
2020-06-10,5856.028142929077,2297.0,75.50980377197266
2020-06-11,5700.645844459534,2297.0,75.875
2020-06-12,5733.706075668335,2297.0,76.38999938964844
2020-06-15,5660.9740924835205,2297.0,75.95680236816406
2020-06-16,5655.463966369629,2297.0,75.97799682617188
2020-06-17,5712.768016815186,2297.0,76.65499877929688
2020-06-18,5710.564176559448,2297.0,76.55000305175781
2020-06-19,5763.460021018982,2297.0,76.40039825439453
2020-06-22,5852.721857070923,2297.0,76.2520980834961
2020-06-23,5862.640189170837,2297.0,75.78980255126953
2020-06-24,5841.702130317688,2297.0,75.60780334472656
2020-06-25,5868.149789810181,2297.0,75.97000122070312
2020-06-26,5889.08784866333,2297.0,75.53980255126953
2020-06-29,5905.618227005005,2297.0,75.61979675292969
2020-06-30,5980.554050445557,2297.0,75.69999694824219
2020-07-01,5988.268016815186,2297.0,75.75
2020-07-02,6024.634008407593,2297.0,75.45490264892578
2020-07-06,6096.264071464539,2297.0,74.6792984008789
2020-07-07,6143.649789810181,2297.0,74.60759735107422
2020-07-08,6203.158205986023,2297.0,75.125
2020-07-09,6232.91215133667,2297.0,74.93990325927734
2020-07-10,6362.948184967041,2297.0,75.33999633789062
2020-07-13,6484.167806625366,2297.0,75.15850067138672
2020-07-14,6426.86375617981,2297.0,75.44999694824219
2020-07-15,6326.582193374634,2297.0,75.57499694824219
2020-07-16,6360.743819236755,2297.0,75.1249008178711
2020-07-17,6364.05010509491,2297.0,75.17449951171875
2020-07-20,6388.293924331665,2297.0,74.89730072021484
2020-07-21,6481.963966369629,2297.0,74.98999786376953
2020-07-22,6410.333903312683,2297.0,74.7699966430664
2020-07-23,6445.597974777222,2297.0,74.81999969482422
2020-07-24,6351.927932739258,2297.0,74.80729675292969
2020-07-27,6365.152025222778,2297.0,74.75980377197266
2020-07-28,6402.619936943054,2297.0,75.0
2020-07-29,6403.721857070923,2297.0,75.08999633789062
2020-07-30,6401.518016815186,2297.0,74.8311996459961
2020-07-31,6301.235928535461,2297.0,74.98999786376953
2020-08-03,6409.231983184814,2297.0,74.91780090332031
2020-08-04,6368.457785606384,2297.0,75.33000183105469
2020-08-05,6416.945949554443,2297.0,75.25
2020-08-06,6403.721857070923,2297.0,74.8822021484375
2020-08-07,6150.261836051941,2297.0,74.8998031616211
2020-08-10,6300.134008407593,2297.0,75.0248031616211
2020-08-11,6329.88795375824,2297.0,75.0999984741211
2020-08-12,6362.948184967041,2297.0,74.9000015258789
2020-08-13,6180.015781402588,2297.0,74.77210235595703
2020-08-14,6294.623882293701,2297.0,75.02999877929688
2020-08-17,6387.192004203796,2297.0,74.90280151367188
2020-08-18,6548.083903312683,2297.0,75.0
2020-08-19,6653.876117706299,2297.0,74.79499816894531
2020-08-20,6545.880063056946,2297.0,74.966796875
2020-08-21,6421.354155540466,2297.0,74.9999008178711
2020-08-24,6441.189768791199,2297.0,74.92179870605469
2020-08-25,6459.923987388611,2297.0,74.4000015258789
2020-08-26,6522.738163948059,2297.0,74.45249938964844
2020-08-27,6534.859810829163,2297.0,74.24009704589844
2020-08-28,6600.979747772217,2297.0,73.77449798583984
2020-08-31,6702.36375617981,2297.0,73.12830352783203
2020-09-01,6632.938058853149,2297.0,73.66999816894531
2020-09-02,6618.61204624176,2297.0,73.2699966430664
2020-09-03,6519.431878089905,2297.0,73.24849700927734
2020-09-04,6714.485928535461,2297.0,73.4478988647461
2020-09-08,6639.55010509491,2297.0,73.6500015258789
2020-09-09,6700.159915924072,2297.0,73.78679656982422
2020-09-10,6583.347974777222,2297.0,73.55000305175781
2020-09-11,6686.935823440552,2297.0,73.52729797363281
2020-09-14,6758.565886497498,2297.0,73.47859954833984
2020-09-15,6750.851920127869,2297.0,73.61499786376953
2020-09-16,6739.832193374634,2297.0,73.80000305175781
2020-09-17,6758.565886497498,2297.0,73.55069732666016
2020-09-18,6862.154260635376,2297.0,73.58360290527344
2020-09-21,6677.018016815186,2297.0,73.53479766845703
2020-09-22,6742.036033630371,2297.0,73.57980346679688
2020-09-23,6597.673987388611,2297.0,73.50299835205078
2020-09-24,6543.6762228012085,2297.0,73.77839660644531
2020-09-25,6552.492109298706,2297.0,73.68240356445312
2020-09-28,6588.858100891113,2297.0,73.69930267333984
2020-09-29,6575.634008407593,2297.0,73.9749984741211
2020-09-30,6674.814176559448,2297.0,73.84500122070312
2020-10-01,6311.154260635376,2297.0,73.70500183105469
2020-10-02,6564.61375617981,2297.0,73.21700286865234
2020-10-05,6534.859810829163,2297.0,73.32240295410156
2020-10-06,6535.96225643158,2297.0,73.1082992553711
2020-10-07,6688.03774356842,2297.0,73.81500244140625
2020-10-08,6704.568121910095,2297.0,73.5425033569336
2020-10-09,6787.217911720276,2297.0,73.28050231933594
2020-10-12,6746.444239616394,2297.0,73.01480102539062
2020-10-13,6705.670042037964,2297.0,73.35079956054688
2020-10-14,6716.689768791199,2297.0,73.62000274658203
2020-10-15,6794.931878089905,2297.0,73.29620361328125
2020-10-16,6755.260126113892,2297.0,73.37100219726562
2020-10-19,6790.52419757843,2297.0,73.44380187988281
2020-10-20,6928.27419757843,2297.0,73.57499694824219
2020-10-21,7040.677932739258,2297.0,73.64749908447266
2020-10-22,6942.600210189819,2297.0,73.6812973022461
2020-10-23,6888.601920127869,2297.0,73.72000122070312
2020-10-26,6807.054050445557,2297.0,73.8228988647461
2020-10-27,6810.359810829163,2297.0,73.94850158691406
2020-10-28,6737.627827644348,2297.0,73.80500030517578
2020-10-29,6726.608100891113,2297.0,74.44000244140625
2020-10-30,6707.873882293701,2297.0,74.26399993896484
2020-11-02,6773.993819236755,2297.0,74.55049896240234
2020-11-03,6803.747764587402,2297.0,74.45680236816406
2020-11-04,6834.604155540466,2297.0,74.65560150146484
2020-11-05,6842.318121910095,2297.0,74.37999725341797
2020-11-06,6940.395844459534,2297.0,74.12000274658203
2020-11-09,6945.905970573425,2297.0,73.97979736328125
2020-11-10,6943.702130317688,2297.0,73.95320129394531
2020-11-11,6896.315886497498,2297.0,74.28160095214844
2020-11-12,6927.171751976013,2297.0,74.56999969482422
2020-11-13,6998.801815032959,2297.0,74.86499786376953
2020-11-16,7096.880063056946,2297.0,74.48770141601562
2020-11-17,7045.086138725281,2297.0,74.41809844970703
2020-11-18,7048.391899108887,2297.0,74.47969818115234
2020-11-19,7060.514071464539,2297.0,74.41999816894531
2020-11-20,7258.873882293701,2297.0,74.09960174560547
2020-11-23,7183.938058853149,2297.0,74.16239929199219
2020-11-24,7273.19989490509,2297.0,74.24490356445312
2020-11-25,7299.648079872131,2297.0,73.96080017089844
2020-11-27,7492.497764587402,2297.0,74.04879760742188
2020-11-30,7538.782088279724,2297.0,73.94090270996094
2020-12-01,7643.471857070923,2297.0,74.02519989013672
2020-12-02,7658.899789810181,2297.0,73.65499877929688
2020-12-03,7667.716201782227,2297.0,73.66259765625
2020-12-04,7744.855865478516,2297.0,73.86489868164062
2020-12-07,7732.734218597412,2297.0,73.79029846191406
2020-12-08,7700.7759075164795,2297.0,74.0199966430664
2020-12-09,7731.631772994995,2297.0,73.72640228271484
2020-12-10,7869.381772994995,2297.0,73.93499755859375
2020-12-11,7766.895844459534,2297.0,73.72669982910156
2020-12-14,7762.488163948059,2297.0,73.73799896240234
2020-12-15,7797.752235412598,2297.0,73.86000061035156
2020-12-16,7833.015781402588,2297.0,73.75980377197266
2020-12-17,7927.78774356842,2297.0,73.6166000366211
2020-12-18,7997.213966369629,2297.0,73.52980041503906
2020-12-21,7874.891899108887,2297.0,73.60359954833984
2020-12-22,7753.671751976013,2297.0,73.935302734375
